PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
4974;-2.495596;8.929957;0.1111;0.021425;-0.578045;-0.557966;-0.062174;0.121752;-0.04674;0.458496;-0.844727;0.330322;0.65934;0.612269;0.377228;0.21931;POINTING
4975;-2.412485;9.205291;0.058655;0.096704;-0.442391;-0.307118;-0.030235;0.115665;-0.048474;0.462891;-0.845703;0.33374;0.65927;0.611945;0.377722;0.219575;POINTING
4976;-2.408723;9.455091;-0.202425;-0.033122;-0.214828;-0.055925;-0.061241;0.138342;-0.033234;0.463623;-0.854004;0.338623;0.659211;0.611485;0.378282;0.220067;POINTING
4977;-2.479127;9.507844;-0.369529;-0.190186;-0.131129;0.017285;-0.110663;0.153714;-0.022145;0.465576;-0.844971;0.334473;0.659285;0.610903;0.378732;0.220687;POINTING
4978;-2.526306;9.386697;-0.394607;-0.267621;-0.155158;-0.088886;-0.143594;0.14204;-0.019093;0.460938;-0.848145;0.332764;0.659453;0.610192;0.379173;0.221394;POINTING
4979;-2.550435;9.170444;-0.162797;-0.167746;-0.358927;-0.301047;-0.127716;0.108154;-0.037116;0.464111;-0.857666;0.336182;0.659681;0.609575;0.379498;0.221857;POINTING
4980;-2.551323;9.009781;-0.013854;-0.094516;-0.480625;-0.461449;-0.049762;0.06065;-0.063929;0.473877;-0.858643;0.330566;0.659766;0.609176;0.379911;0.221992;POINTING
4981;-2.524481;9.036588;0.136503;0.040042;-0.562031;-0.44604;0.061348;0.027334;-0.079558;0.464355;-0.853027;0.336182;0.659618;0.609191;0.380309;0.22171;POINTING
4982;-2.479174;9.144787;0.101316;0.07998;-0.492677;-0.350418;0.168305;-0.008513;-0.082648;0.470947;-0.84668;0.341797;0.659195;0.609553;0.380789;0.22115;POINTING
4983;-2.414993;9.362522;0.030183;0.132456;-0.375082;-0.151856;0.223774;-0.032065;-0.063701;0.477051;-0.85376;0.341553;0.658646;0.610199;0.381121;0.22043;POINTING
4984;-2.357795;9.55315;-0.11167;0.127045;-0.21896;0.024498;0.226779;-0.035279;-0.040058;0.470703;-0.854492;0.336914;0.658045;0.610861;0.381451;0.21982;POINTING
4985;-2.370067;9.731975;-0.238765;0.079795;-0.123342;0.205494;0.18865;-0.030599;-0.027769;0.474609;-0.84375;0.345459;0.65756;0.611456;0.381639;0.219289;POINTING
4986;-2.486444;9.81521;-0.335397;-0.039527;-0.131461;0.317189;0.124475;-0.016603;-0.017448;0.470703;-0.848389;0.340576;0.657213;0.611803;0.381844;0.219004;POINTING
4987;-2.572282;9.796643;-0.360565;-0.113388;-0.179626;0.320216;0.04492;-0.00551;-0.009878;0.468262;-0.852539;0.34375;0.657099;0.611932;0.381903;0.218883;POINTING
4988;-2.617324;9.75554;-0.276509;-0.092198;-0.27542;0.287463;-0.029358;-0.01351;-0.015421;0.473633;-0.856689;0.341553;0.657213;0.611773;0.381947;0.218911;POINTING
4989;-2.621961;9.745112;-0.248592;-0.080542;-0.294216;0.277438;-0.078275;-0.025605;-0.030019;0.470703;-0.855713;0.342285;0.657536;0.611481;0.381866;0.218897;POINTING
4990;-2.533833;9.709385;-0.27195;-0.047;-0.212288;0.223205;-0.103803;-0.029314;-0.043032;0.472412;-0.858887;0.337646;0.657938;0.611041;0.38186;0.218927;POINTING
4991;-2.425851;9.626851;-0.311777;-0.021871;-0.109178;0.119372;-0.12851;-0.040546;-0.050555;0.471191;-0.844727;0.34082;0.658466;0.61056;0.381738;0.218896;POINTING
4992;-2.444107;9.53689;-0.312942;-0.058514;-0.119779;0.036479;-0.134716;-0.053544;-0.050604;0.477051;-0.853271;0.339844;0.659017;0.610029;0.381641;0.218886;POINTING
4993;-2.498342;9.394491;-0.288267;-0.112508;-0.181638;-0.089746;-0.120228;-0.065791;-0.042361;0.477295;-0.851562;0.331787;0.659558;0.609618;0.381419;0.218789;POINTING
4994;-2.583311;9.219818;-0.284642;-0.206822;-0.256709;-0.23924;-0.070829;-0.076905;-0.030502;0.477539;-0.849121;0.342529;0.659938;0.609364;0.38125;0.218646;POINTING
4995;-2.609896;9.00958;-0.324061;-0.294847;-0.271068;-0.435657;0.005659;-0.081817;-0.023748;0.472412;-0.851562;0.330566;0.660105;0.60942;0.381056;0.218322;POINTING
4996;-2.594516;9.035021;-0.338547;-0.286181;-0.245372;-0.413984;0.071287;-0.076637;-0.032034;0.480957;-0.846924;0.324219;0.66005;0.609628;0.381054;0.217911;POINTING
4997;-2.552865;9.155341;-0.312688;-0.208844;-0.221054;-0.307811;0.133308;-0.084382;-0.034875;0.477539;-0.847412;0.33667;0.659845;0.610088;0.381024;0.217298;POINTING
4998;-2.511979;9.317003;-0.299343;-0.12884;-0.184965;-0.160985;0.164523;-0.094912;-0.041058;0.482666;-0.848389;0.335449;0.659557;0.610609;0.38108;0.216611;POINTING
4999;-2.445711;9.35649;-0.178442;0.02053;-0.226511;-0.142863;0.152525;-0.103683;-0.049698;0.48584;-0.842041;0.336914;0.659345;0.611123;0.381052;0.215854;POINTING
5000;-2.462035;9.209371;0.096202;0.18208;-0.456486;-0.292086;0.090543;-0.13175;-0.09141;0.478271;-0.844971;0.337158;0.659404;0.611343;0.381062;0.215029;POINTING
5001;-2.556731;8.987709;0.445815;0.323566;-0.796188;-0.497329;0.011271;-0.174847;-0.157257;0.483887;-0.843262;0.333984;0.659874;0.611262;0.380976;0.213968;POINTING
5002;-2.627874;8.559097;0.926579;0.530974;-1.235819;-0.912508;0.004854;-0.247638;-0.246082;0.487061;-0.846191;0.334473;0.660579;0.611023;0.380987;0.212451;POINTING
